startup_name,sector,city,amount_usd,investment_type,investors,date
BYJU’S,E-Tech,Bangalore,200000000.0,Private Equity Round,Tiger Global Management,09/01/2020
Shuttl,Transportation,Gurgaon,8048394.0,Series C,Susquehanna Growth Equity,13/01/2020
Mamaearth,E-commerce,Bangalore,18358860.0,Series B,Sequoia Capital India,09/01/2020
https://www.wealthbucket.in/,FinTech,Delhi,3000000.0,Pre-series A,Vinod Khatumal,02/01/2020
Fashor,Fashion and Apparel,Mumbai,1800000.0,Seed Round,Sprout Venture Partners,02/01/2020
Pando,Logistics,Chennai,9000000.0,Series A,Chiratae Ventures,13/01/2020
Zomato,Hospitality,Gurgaon,150000000.0,Private Equity Round,Ant Financial,10/01/2020
Ecozen,Technology,Pune,6000000.0,Series A,Sathguru Catalyzer Advisors,12/12/2019
CarDekho,E-Commerce,Gurgaon,70000000.0,Series D,Ping An Global Voyager Fund,06/12/2019
Dhruva Space,Aerospace,Bangalore,50000000.0,Seed,"Mumbai Angels, Ravikanth Reddy",03/12/2019
Rivigo,Technology,Gurgaon,20000000.0,Series F,"SAIF Partners, Spring Canter Investment Ltd.",13/12/2019
Healthians,B2B-focused foodtech startup,Bangalore,12000000.0,Series C,"Paytm, NPTK, Sabre Partners and Neoplux",17/12/2019
Licious,E-Commerce,Bangalore,30000000.0,Series E,Vertex Growth Fund,16/12/2019
InCred,Finance,Mumbai,5900000.0,Debt Funding,,16/12/2019
Trell,Video,Bangalore,2000000.0,Seed Round,Ruizheng Investment,14/12/2019
Rein Games,Gaming,Noida,50000000.0,Seed Round,Manipal Education and Medical Group (MEMG),11/12/2019
Lenskart.com,E-Commerce,Faridabad,231000000.0,Series G,SoftBank Vision Fund,20/12/2019
Freshworks,Software,San Francisco,150000000.0,Series H,"Sequoia, CapitalG, Accel",13/11/2019
Misters,Health and wellness,Gurgaon,486000.0,Series B,"Sauce.vc, Rainforest Ventures",14/11/2019
Sunstone Eduversity Pvt. Ltd,Education,Gurgaon,1500000.0,Seed,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",13/11/2019
Burger Singh,Food and Beverage,Gurgaon,,Venture,RB Investments,17/11/2019
Ninjacart,B2B Marketing,Bangalore,26000000.0,Debt Funding,Trifecta Capital Advisors,15/11/2019
Aye Finance,FinTech,Gurgaon,17411265.0,Debt Funding,FinTech,20/11/2019
SuperGaming,Video Games,Pune,1300000.0,Seed Funding,Dream Incubator,12/11/2019
Clumio,SaaS,"San Jose,",135000000.0,Series C,"Altimeter Capital, Sutter Hill Ventures",20/11/2019
eBikeGo,Last Mile Transportation,Amritsar,300000.0,Seed,Startup Buddy,11/11/2019
Digital Mall Asia,E-Commerce,Delhi,220000000.0,Seed Funding,Amour Infrastructure,19/11/2019
